"timestamp (abs)","sample rate (Hz)","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
1305,10000,0,0,0,0,0
1313,10000,0,0,0,0,1
1321,10000,0,0,0,0,0
1328,10000,0,0,0,0,1
1336,10000,0,0,0,0,0
1343,10000,0,0,0,0,1
1349,10000,0,0,0,0,0
1355,10000,0,0,0,0,1
1362,10000,0,0,0,0,0
1370,10000,0,0,0,0,1
1377,10000,0,0,0,0,0
1385,10000,0,0,0,0,1
1393,10000,0,0,0,0,0
1400,10000,0,0,0,0,1
1408,10000,0,0,0,0,0
1415,10000,0,0,0,0,1
1422,10000,0,0,0,0,0
1429,10000,0,0,0,0,1
1437,10000,0,0,0,0,0
1444,10000,0,0,0,0,1
1452,10000,0,0,0,0,0
1460,10000,0,0,0,0,1
1467,10000,0,0,0,0,0
1473,10000,0,0,0,0,1
1481,10000,0,0,0,0,0
1489,10000,0,0,0,0,1
1496,10000,0,0,0,0,0
1504,10000,0,0,0,0,1
1511,10000,0,0,0,0,0
1517,10000,0,0,0,0,1
1523,10000,0,0,0,0,0
1530,10000,0,0,0,0,1
1538,10000,0,0,0,0,0
1545,10000,0,0,0,0,1
1553,10000,0,0,0,0,0
1561,10000,0,0,0,0,1
1568,10000,0,0,0,0,0
1576,10000,0,0,0,0,1
1583,10000,0,0,0,0,0
1591,10000,0,0,0,0,1
1599,10000,0,0,0,0,0
1606,10000,0,0,0,0,1
1614,10000,0,0,0,0,0
1621,10000,0,0,0,0,1
1629,10000,0,0,0,0,0
1636,10000,0,0,0,0,1
1644,10000,0,0,0,0,0
1652,10000,0,0,0,0,1
1659,10000,0,0,0,0,0
1667,10000,0,0,0,0,1
1674,10000,0,0,0,0,0
1680,10000,0,0,0,0,1
1686,10000,0,0,0,0,0
1693,10000,0,0,0,0,1
1699,10000,0,0,0,0,0
1707,10000,0,0,0,0,1
1715,10000,0,0,0,0,0
1722,10000,0,0,0,0,1
1730,10000,0,0,0,0,0
1738,10000,0,0,0,0,1
1745,10000,0,0,0,0,0
1751,10000,0,0,0,0,1
1759,10000,0,0,0,0,0
1766,10000,0,0,0,0,1
1773,10000,0,0,0,0,0
1780,10000,0,0,0,0,1
1788,10000,0,0,0,0,0
1795,10000,0,0,0,0,1
1803,10000,0,0,0,0,0
1811,10000,0,0,0,0,1
1818,10000,0,0,0,0,0
1826,10000,0,0,0,0,1
1833,10000,0,0,0,0,0
1841,10000,0,0,0,0,1
1848,10000,0,0,0,0,0
1854,10000,0,0,0,0,1
1860,10000,0,0,0,0,0
1867,10000,0,0,0,0,1
1875,10000,0,0,0,0,0
1883,10000,0,0,0,0,1
1890,10000,0,0,0,0,0
1898,10000,0,0,0,0,1
1906,10000,0,0,0,0,0
1913,10000,0,0,0,0,1
1921,10000,0,0,0,0,0
1928,10000,0,0,0,0,1
1936,10000,0,0,0,0,0
1943,10000,0,0,0,0,1
1950,10000,0,0,0,0,0
1957,10000,0,0,0,0,1
1964,10000,0,0,0,0,0
1971,10000,0,0,0,0,1
1979,10000,0,0,0,0,0
1986,10000,0,0,0,0,1
1994,10000,0,0,0,0,0
2001,10000,0,0,0,0,1
2009,10000,0,0,0,0,0
2016,10000,0,0,0,0,1
2022,10000,0,0,0,0,0
2029,10000,0,0,0,0,1
2036,10000,0,0,0,0,0
2043,10000,0,0,0,0,1
2051,10000,0,0,0,0,0
2058,10000,0,0,0,0,1
2064,10000,0,0,0,0,0
2070,10000,0,0,0,0,1
2077,10000,0,0,0,0,0
2084,10000,0,0,0,0,1
2091,10000,0,0,0,0,0
2098,10000,0,0,0,0,1
2106,10000,0,0,0,0,0
2114,10000,0,0,0,0,1
2121,10000,0,0,0,0,0
2128,10000,0,0,0,0,1
2135,10000,0,0,0,0,0
2143,10000,0,0,0,0,1
2150,10000,0,0,0,0,0
2158,10000,0,0,0,0,1
2165,10000,0,0,0,0,0
2173,10000,0,0,0,0,1
2180,10000,0,0,0,0,0
2186,10000,0,0,0,0,1
2193,10000,0,0,0,0,0
2199,10000,0,0,0,0,1
2206,10000,0,0,0,0,0
